id,video_id,task_desensitize_id,video_desensitize_id,workflow_type,status,version,group_id,group_public_id,group_name,slicer_id,slicer,annotator_id,annotator,slice_batch,label_batch,is_benchmark_clone,fps,duration_seconds,updated_at,user_name,user_id,duration_display,completed_at,completed_date,completed_week,completed_month,status_normalized,is_completed,completion_type,rework_by,record_id
manual_cut_18712374565_20260906_213838_00000_task_3,manual_cut_18712374565_20260906_213838_00000,,,slice,slice_assigned,1,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,6530.0,SSHD-Riya,,,10,0,False,30.0,54.0,2026-09-14T15:22:41,Riya,SSHD-Riya,00:00:54,2026-09-14 15:22:41+05:30,2026-09-14,2026-W38,2026-09,slice_assigned,False,none,,69bc6c2bbc1f6be6
manual_cut_18734625667_20260812_160324_00008_task_1,manual_cut_18734625667_20260812_160324_00008,session_CTc6b6L8Rvjb3Q_00008_task_1,session_CTc6b6L8Rvjb3Q_00008,slice,slice_submitted,2,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,809.0,SSHD-Priya,,,18,0,False,30.0,83.0,2026-09-14T15:22:40,Priya,SSHD-Priya,00:01:23,2026-09-14 15:22:40+05:30,2026-09-14,2026-W38,2026-09,slice_submitted,False,none,,73a71f742de1c2cd
manual_cut_18712374565_20260905_165817_00000_task_4,manual_cut_18712374565_20260905_165817_00000,,,slice,slice_assigned,1,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,4207.0,SSHD-Rajni,,,19,0,False,30.0,151.0,2026-09-14T15:22:39,Rajni,SSHD-Rajni,00:02:31,2026-09-14 15:22:39+05:30,2026-09-14,2026-W38,2026-09,slice_assigned,False,none,,f0f6be8f94e1f967
manual_cut_18712374565_20260906_213838_00000_task_2,manual_cut_18712374565_20260906_213838_00000,,,slice,slice_submitted,2,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,6530.0,SSHD-Riya,,,10,0,False,30.0,107.0,2026-09-14T15:22:38,Riya,SSHD-Riya,00:01:47,2026-09-14 15:22:38+05:30,2026-09-14,2026-W38,2026-09,slice_submitted,False,none,,61a180472a73e444
manual_cut_18709826923_20260906_163258_00000_task_0,manual_cut_18709826923_20260906_163258_00000,,,slice,slice_submitted,2,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,9644.0,SSHD-ranjeeta6,,,1,0,False,30.0,300.0,2026-09-14T15:22:36,Ranjeeta,SSHD-ranjeeta6,00:05:00,2026-09-14 15:22:36+05:30,2026-09-14,2026-W38,2026-09,slice_submitted,False,none,,2b1f5f61fbf91b18
manual_cut_18656542063_20260827_094010_00000_task_4,manual_cut_18656542063_20260827_094010_00000,session_B8rlSvOiPZ59iV_00000_task_4,session_B8rlSvOiPZ59iV_00000,slice,slice_assigned,1,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,6738.0,SSHD-Slicer10,,,5,0,False,30.0,70.0,2026-09-14T15:22:27,Aditya,SSHD-Slicer10,00:01:10,2026-09-14 15:22:27+05:30,2026-09-14,2026-W38,2026-09,slice_assigned,False,none,,e9d6a559d1e05c9a
manual_cut_13956006948_20260804_143334_00001_task_2,manual_cut_13956006948_20260804_143334_00001,session_jOGCIN0mAl6JXc_00001_task_2,session_jOGCIN0mAl6JXc_00001,slice,slice_rework,6,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,6541.0,SSHD-Sanddep,,,6,0,False,30.0,115.0,2026-09-14T15:22:22,Sanddep,SSHD-Sanddep,00:01:55,2026-09-14 15:22:22+05:30,2026-09-14,2026-W38,2026-09,slice_rework,False,none,,89d9f3dc33035dbe
manual_cut_18656542063_20260827_094010_00000_task_2,manual_cut_18656542063_20260827_094010_00000,session_B8rlSvOiPZ59iV_00000_task_2,session_B8rlSvOiPZ59iV_00000,slice,slice_submitted,2,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,6738.0,SSHD-Slicer10,,,5,0,False,30.0,41.0,2026-09-14T15:22:22,Aditya,SSHD-Slicer10,00:00:41,2026-09-14 15:22:22+05:30,2026-09-14,2026-W38,2026-09,slice_submitted,False,none,,f6e288fe157b0b9b
manual_cut_18712374565_20260901_191508_00000_task_0,manual_cut_18712374565_20260901_191508_00000,,,slice,slice_pending_auditor_review,3,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,5205.0,SSHD-Slicer 4,,,11,0,False,30.0,32.0,2026-09-14T15:22:15,Priya,SSHD-Slicer 4,00:00:32,2026-09-14 15:22:15+05:30,2026-09-14,2026-W38,2026-09,slice_pending_auditor_review,False,none,,2e194c36f17d53e0
manual_cut_18712374565_20260901_191508_00000_task_1,manual_cut_18712374565_20260901_191508_00000,,,slice,slice_pending_auditor_review,3,803,0bf0f34f-4d0d-4ea2-8ac6-441d9d031415,SSHD TECHNOLOGIES,5205.0,SSHD-Slicer 4,,,11,0,False,30.0,15.0,2026-09-14T15:22:15,Priya,SSHD-Slicer 4,00:00:15,2026-09-14 15:22:15+05:30,2026-09-14,2026-W38,2026-09,slice_pending_auditor_review,False,none,,95847decf41a4abc
