task_id,user_name,duration_seconds,date,type
manual_cut_13414378029_20260801_163130_00004_task_0,Aditya,299.0,2026-08-26,submitted
manual_cut_13414378029_20260801_163130_00004_task_0,Aditya,299.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_163130_00003_task_1,Aditya,279.0,2026-08-26,submitted
manual_cut_13414378029_20260801_163130_00003_task_1,Aditya,279.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_163130_00002_task_7,Aditya,132.0,2026-08-26,submitted
manual_cut_13414378029_20260801_163130_00002_task_7,Aditya,132.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_163130_00002_task_6,Aditya,23.0,2026-08-26,submitted
manual_cut_13414378029_20260801_163130_00002_task_6,Aditya,23.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_163130_00002_task_4,Aditya,35.0,2026-08-26,submitted
manual_cut_13414378029_20260801_163130_00002_task_4,Aditya,35.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_163130_00002_task_0,Aditya,67.0,2026-08-26,submitted
manual_cut_13414378029_20260801_163130_00002_task_0,Aditya,67.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_163130_00001_task_1,Aditya,125.0,2026-08-26,submitted
manual_cut_13414378029_20260801_163130_00001_task_1,Aditya,125.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_162112_00000_task_1,Aditya,202.0,2026-08-26,submitted
manual_cut_13414378029_20260801_162112_00000_task_1,Aditya,202.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_161146_00001_task_0,Aditya,228.0,2026-08-26,submitted
manual_cut_13414378029_20260801_161146_00001_task_0,Aditya,228.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_161146_00000_task_1,Aditya,298.0,2026-08-26,submitted
manual_cut_13414378029_20260801_161146_00000_task_1,Aditya,298.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_155941_00000_task_0,Aditya,263.0,2026-08-26,submitted
manual_cut_13414378029_20260801_155941_00000_task_0,Aditya,263.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_154902_00000_task_0,Aditya,276.0,2026-08-26,submitted
manual_cut_13414378029_20260801_154902_00000_task_0,Aditya,276.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_145600_00003_task_0,Aditya,300.0,2026-08-26,submitted
manual_cut_13414378029_20260801_145600_00003_task_0,Aditya,300.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00008_task_1,Aditya,21.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00008_task_1,Aditya,21.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00007_task_0,Aditya,87.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00007_task_0,Aditya,87.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00006_task_0,Aditya,39.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00006_task_0,Aditya,39.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00005_task_4,Aditya,102.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00005_task_4,Aditya,102.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00005_task_2,Aditya,108.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00005_task_2,Aditya,108.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00004_task_2,Aditya,130.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00004_task_2,Aditya,130.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00003_task_4,Aditya,120.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00003_task_4,Aditya,120.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00002_task_1,Aditya,259.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00002_task_1,Aditya,259.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_120208_00001_task_2,Aditya,167.0,2026-08-26,submitted
manual_cut_13414378029_20260801_120208_00001_task_2,Aditya,167.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_085459_00002_task_0,Aditya,56.0,2026-08-26,submitted
manual_cut_13414378029_20260801_085459_00002_task_0,Aditya,56.0,2026-08-26,leader_passed
manual_cut_13414378029_20260801_085123_00000_task_1,Aditya,139.0,2026-08-26,submitted
manual_cut_13414378029_20260801_085123_00000_task_1,Aditya,139.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_165246_00000_task_3,Priya,179.0,2026-08-26,submitted
manual_cut_13287976539_20260803_165246_00000_task_3,Priya,179.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_165246_00000_task_2,Priya,88.0,2026-08-26,submitted
manual_cut_13287976539_20260803_165246_00000_task_2,Priya,88.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_165246_00000_task_1,Priya,16.0,2026-08-26,submitted
manual_cut_13287976539_20260803_165246_00000_task_1,Priya,16.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_110015_00000_task_2,Priya,13.0,2026-08-26,auditor_passed
manual_cut_13287976539_20260803_110015_00000_task_1,Priya,63.0,2026-08-26,submitted
manual_cut_13287976539_20260803_110015_00000_task_1,Priya,63.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_104824_00001_task_3,Priya,16.0,2026-08-26,submitted
